entry_time,exit_time,side,entry_price,exit_price,pnl_usd,exit_type,regime,holding_candles,equity
2026-01-03T20:00:00+00:00,2026-01-04T04:00:00+00:00,LONG,90595.8,91560.65,147.75,TP,bull,2,18322.68
2026-01-04T04:00:00+00:00,2026-01-04T12:00:00+00:00,LONG,91477.5,91292.8,-42.29,TIME_EXIT_LOSS,bull,1,18280.39
2026-01-04T12:00:00+00:00,2026-01-05T00:00:00+00:00,LONG,91292.8,92835.2,241.43,TRAIL_TP,bull,3,18521.82
2026-01-05T00:00:00+00:00,2026-01-05T12:00:00+00:00,LONG,92835.2,93899.9,160.03,TRAIL_TP,bull,3,18681.85
2026-01-05T12:00:00+00:00,2026-01-05T20:00:00+00:00,LONG,93899.9,93822.4,-24.38,TIME_EXIT_LOSS,bull,1,18657.47
2026-01-05T20:00:00+00:00,2026-01-06T04:00:00+00:00,LONG,93822.4,93207.4,-110.32,TIME_EXIT_LOSS,bull,1,18547.15
2026-01-06T04:00:00+00:00,2026-01-06T12:00:00+00:00,LONG,93207.4,94200.06,147.75,TP,bull,2,18694.9
2026-01-06T12:00:00+00:00,2026-01-06T20:00:00+00:00,LONG,93608.2,92360.4,-211.95,SL,bull,2,18482.95
2026-01-06T20:00:00+00:00,2026-01-07T04:00:00+00:00,LONG,93708.0,92458.87,-211.95,SL,bull,2,18271.0
2026-01-07T04:00:00+00:00,2026-01-07T12:00:00+00:00,LONG,92848.1,91610.43,-211.95,SL,bull,2,18059.05
2026-01-07T12:00:00+00:00,2026-01-08T00:00:00+00:00,LONG,91303.1,90694.56,-111.97,HALF_RISK_SL,bull,3,17947.08
2026-01-08T00:00:00+00:00,2026-01-08T08:00:00+00:00,LONG,90780.1,90192.3,-109.12,TIME_EXIT_LOSS,bull,1,17837.96
2026-01-08T08:00:00+00:00,2026-01-08T16:00:00+00:00,LONG,90192.3,91152.85,147.75,TP,bull,2,17985.71
2026-01-08T16:00:00+00:00,2026-01-09T08:00:00+00:00,LONG,90890.9,90285.11,-111.97,HALF_RISK_SL,bull,4,17873.74
2026-01-09T08:00:00+00:00,2026-01-09T16:00:00+00:00,LONG,90398.1,91360.84,147.75,TP,bull,2,18021.49
2026-01-09T16:00:00+00:00,2026-01-10T16:00:00+00:00,LONG,90290.6,90591.4,37.97,MAX_HOLD_EXIT,bull,6,18059.46
2026-01-10T16:00:00+00:00,2026-01-11T16:00:00+00:00,LONG,90591.4,90644.7,-3.17,MAX_HOLD_EXIT,bull,6,18056.29
2026-01-11T16:00:00+00:00,2026-01-12T00:00:00+00:00,LONG,90644.7,91766.2,173.59,TRAIL_TP,bull,2,18229.88
2026-01-12T00:00:00+00:00,2026-01-12T08:00:00+00:00,LONG,91766.2,90542.96,-211.95,SL,bull,2,18017.93
2026-01-12T08:00:00+00:00,2026-01-12T16:00:00+00:00,LONG,90573.9,91821.9,194.68,TRAIL_TP,bull,2,18212.61
2026-01-12T16:00:00+00:00,2026-01-13T00:00:00+00:00,LONG,91821.9,91380.9,-84.04,TIME_EXIT_LOSS,bull,1,18128.57
2026-01-13T00:00:00+00:00,2026-01-13T08:00:00+00:00,LONG,91380.9,92354.11,147.75,TP,bull,2,18276.32
2026-01-13T08:00:00+00:00,2026-01-13T16:00:00+00:00,LONG,91962.1,94179.5,349.68,TRAIL_TP,bull,2,18626.0
2026-01-13T16:00:00+00:00,2026-01-14T00:00:00+00:00,LONG,94179.5,95665.7,224.71,TRAIL_TP,bull,2,18850.71
2026-01-14T00:00:00+00:00,2026-01-14T08:00:00+00:00,LONG,95665.7,94763.6,-153.45,TIME_EXIT_LOSS,bull,1,18697.26
2026-01-14T08:00:00+00:00,2026-01-14T16:00:00+00:00,LONG,94763.6,97221.8,377.11,TRAIL_TP,bull,2,19074.37
2026-01-14T16:00:00+00:00,2026-01-15T00:00:00+00:00,LONG,97221.8,95925.83,-211.95,SL,bull,2,18862.42
2026-01-15T00:00:00+00:00,2026-01-15T08:00:00+00:00,LONG,95943.1,96964.89,147.75,TP,bull,2,19010.17
2026-01-15T08:00:00+00:00,2026-01-15T16:00:00+00:00,LONG,96548.9,95261.9,-211.95,SL,bull,2,18798.22
2026-01-15T16:00:00+00:00,2026-01-16T00:00:00+00:00,LONG,95469.2,95319.6,-35.5,TIME_EXIT_LOSS,bull,1,18762.72
2026-01-16T00:00:00+00:00,2026-01-16T12:00:00+00:00,LONG,95319.6,94684.29,-111.97,HALF_RISK_SL,bull,3,18650.75
2026-01-16T12:00:00+00:00,2026-01-16T20:00:00+00:00,LONG,94537.5,95544.32,147.75,TP,bull,2,18798.5
2026-01-16T20:00:00+00:00,2026-01-17T04:00:00+00:00,LONG,95503.7,95061.1,-81.52,TIME_EXIT_LOSS,bull,1,18716.98
2026-01-17T04:00:00+00:00,2026-01-18T04:00:00+00:00,LONG,95061.1,94989.9,-23.23,MAX_HOLD_EXIT,bull,6,18693.75
2026-01-18T04:00:00+00:00,2026-01-18T20:00:00+00:00,LONG,94989.9,94356.79,-111.97,HALF_RISK_SL,bull,4,18581.78
2026-01-18T20:00:00+00:00,2026-01-19T04:00:00+00:00,LONG,93614.0,92366.13,-211.95,SL,bull,2,18369.83
2026-01-19T04:00:00+00:00,2026-01-19T20:00:00+00:00,LONG,92787.9,92169.47,-111.97,HALF_RISK_SL,bull,4,18257.86
2026-01-19T20:00:00+00:00,2026-01-20T04:00:00+00:00,LONG,92589.6,91355.38,-211.95,SL,bull,2,18045.91
2026-01-20T04:00:00+00:00,2026-01-20T12:00:00+00:00,SHORT,91136.1,90165.5,147.75,TP,neutral,2,18193.66
