entry_time,exit_time,side,entry_price,exit_price,initial_sl,final_sl,tp,pnl_usd,equity,exit_type,gate,fgi,regime,bcd_conf,breakeven_locked,holding_candles,notional,leverage,actual_move_pct
2026-02-20T00:00:00+00:00,2026-02-20T08:00:00+00:00,SHORT,67327.2,68224.67,68224.67,68224.67,66849.18,-211.95,11347.06,SL,ACTIVE,7.0,bear,1.0,False,2,15000.0,15.0,-1.333
2026-02-20T08:00:00+00:00,2026-02-20T20:00:00+00:00,SHORT,67290.5,68187.48,68187.48,68187.48,66812.74,-211.95,11135.11,SL,ACTIVE,7.0,bear,1.0,False,3,15000.0,15.0,-1.333
2026-02-21T00:00:00+00:00,2026-02-21T12:00:00+00:00,SHORT,67637.0,68538.6,68538.6,68538.6,67156.78,-211.95,10923.16,SL,ACTIVE,8.0,bear,1.0,False,3,15000.0,15.0,-1.333
2026-02-21T12:00:00+00:00,2026-02-21T20:00:00+00:00,SHORT,68571.5,67933.1,69485.56,69485.56,68084.64,127.65,11050.81,TRAIL_TP,ACTIVE,8.0,bear,1.0,False,2,15000.0,15.0,0.931
2026-02-21T20:00:00+00:00,2026-02-22T12:00:00+00:00,SHORT,67933.1,67450.77,68838.65,68838.65,67450.77,94.5,11145.31,TP,ACTIVE,8.0,bear,1.0,False,4,15000.0,15.0,0.71
2026-02-22T12:00:00+00:00,2026-02-23T00:00:00+00:00,SHORT,67659.9,64894.0,68561.81,68561.81,67179.51,601.19,11746.5,TRAIL_TP,ACTIVE,9.0,neutral,1.0,False,3,15000.0,15.0,4.0879
2026-02-23T00:00:00+00:00,2026-02-23T08:00:00+00:00,SHORT,64894.0,65759.04,65759.04,65759.04,64433.25,-211.95,11534.55,SL,ACTIVE,5.0,bear,1.0,False,2,15000.0,15.0,-1.333
2026-02-23T08:00:00+00:00,2026-02-23T16:00:00+00:00,SHORT,66170.8,64273.9,67052.86,67052.86,65700.99,418.0,11952.55,TRAIL_TP,ACTIVE,5.0,bear,1.0,False,2,15000.0,15.0,2.8667
2026-02-23T16:00:00+00:00,2026-02-24T00:00:00+00:00,SHORT,64273.9,63570.5,65130.67,65130.67,63817.56,152.16,12104.71,TRAIL_TP,ADVISORY,5.0,bear,1.0,False,2,15000.0,15.0,1.0944
2026-02-24T00:00:00+00:00,2026-02-24T08:00:00+00:00,SHORT,63570.5,63119.15,64417.89,64417.89,63119.15,94.5,12199.21,TP,ADVISORY,8.0,bear,1.0,False,2,15000.0,15.0,0.71
2026-02-24T08:00:00+00:00,2026-02-24T16:00:00+00:00,SHORT,63192.2,64034.55,64034.55,64034.55,62743.54,-211.95,11987.26,SL,ADVISORY,8.0,bear,1.0,False,2,15000.0,15.0,-1.333
2026-02-24T16:00:00+00:00,2026-02-25T00:00:00+00:00,SHORT,64405.4,65263.92,65263.92,65263.92,63948.12,-211.95,11775.31,SL,ADVISORY,8.0,bear,1.0,False,2,15000.0,15.0,-1.333
2026-02-25T04:00:00+00:00,2026-02-25T12:00:00+00:00,SHORT,65001.1,65867.56,65867.56,65867.56,64539.59,-211.95,11563.36,SL,ADVISORY,11.0,bear,1.0,False,2,15000.0,15.0,-1.333
2026-02-25T20:00:00+00:00,2026-02-26T12:00:00+00:00,SHORT,67952.5,67353.4,68858.31,68858.31,67470.04,120.25,11683.61,TRAIL_TP,ADVISORY,11.0,neutral,1.0,False,4,15000.0,15.0,0.8816
2026-02-27T08:00:00+00:00,2026-02-27T16:00:00+00:00,SHORT,66094.1,65365.4,66975.13,66975.13,65624.83,153.38,11836.99,TRAIL_TP,ADVISORY,13.0,bear,1.0,False,2,15000.0,15.0,1.1025
2026-02-27T16:00:00+00:00,2026-02-28T04:00:00+00:00,SHORT,65365.4,63788.4,66236.72,66236.72,64901.31,349.89,12186.88,TRAIL_TP,ADVISORY,13.0,bear,1.0,False,3,15000.0,15.0,2.4126
2026-02-28T04:00:00+00:00,2026-02-28T12:00:00+00:00,SHORT,63788.4,64638.7,64638.7,64638.7,63335.5,-211.95,11974.93,SL,ADVISORY,11.0,bear,1.0,False,2,15000.0,15.0,-1.333
2026-02-28T12:00:00+00:00,2026-02-28T20:00:00+00:00,SHORT,64800.0,65663.78,65663.78,65663.78,64339.92,-211.95,11762.98,SL,ADVISORY,11.0,bear,1.0,False,2,15000.0,15.0,-1.333
