entry_i,exit_i,side,entry,exit,exit_type,pnl_pct,regime,duration
1650,1673,LONG,27477.6,28170.889300275026,TP,2.4431,Bullish Trend,23
1673,1684,LONG,27939.1,27883.5,REGIME_FLIP,-0.279,Bullish Trend,11
1732,1741,LONG,28054.0,28889.65669160603,TP,2.8987,Bullish Trend,9
1741,1752,LONG,28498.0,29240.26788420668,TP,2.5246,Bullish Trend,11
1752,1753,LONG,28696.9,29366.04379176063,TP,2.2518,Bullish Trend,1
1753,1754,LONG,29222.8,29957.547806634866,TP,2.4343,Bullish Trend,1
1754,1761,LONG,29228.5,29950.64482044666,TP,2.3907,Bullish Trend,7
1761,1770,LONG,29794.7,30510.314794585287,TP,2.3218,Bullish Trend,9
1770,1771,LONG,29981.5,30643.779918583627,TP,2.129,Bullish Trend,1
1771,1775,LONG,30724.0,31467.03521011337,TP,2.3384,Bullish Trend,4
1775,1776,LONG,31339.9,32224.56604795002,TP,2.7428,Bullish Trend,1
1776,1777,LONG,33074.0,34527.23511595359,TP,4.3139,Bullish Trend,1
1777,1830,LONG,34071.1,35753.51010767119,TP,4.8579,Bullish Trend,53
1830,1833,LONG,35437.4,34718.25140513291,SL,-2.1093,Bullish Trend,3
1833,1834,LONG,35377.5,34646.28182838083,SL,-2.1469,Bullish Trend,1
1834,1865,LONG,34645.2,35626.93676079442,TP,2.7537,Bullish Trend,31
1865,1872,LONG,35473.4,36287.37800527789,TP,2.2146,Bullish Trend,7
1920,1937,LONG,36176.0,37411.00859138797,TP,3.3339,Bullish Trend,17
1937,1947,LONG,36961.9,36304.88204928844,SL,-1.8576,Bullish Trend,10
1947,1949,LONG,37189.5,36510.11183049128,SL,-1.9068,Bullish Trend,2
1949,1950,LONG,36989.9,36201.52831302564,SL,-2.2113,Bullish Trend,1
1950,1954,LONG,35737.0,36857.84487376,TP,3.0564,Bullish Trend,4
1954,1955,LONG,36480.5,37530.97983757964,TP,2.7996,Bullish Trend,1
1955,1965,LONG,37297.0,38417.81356346681,TP,2.9251,Bullish Trend,10
1965,1982,LONG,37749.7,36992.149046237275,SL,-2.0868,Bullish Trend,17
1982,1984,LONG,37272.1,36723.15035979186,SL,-1.5528,Bullish Trend,2
1984,1989,LONG,36743.2,37468.14157339755,TP,1.893,Bullish Trend,5
1989,1990,LONG,37250.1,37959.8234872328,TP,1.8253,Bullish Trend,1
1990,1991,LONG,37502.2,38219.08995243046,TP,1.8316,Bullish Trend,1
1991,2001,LONG,38105.0,37481.011883129475,SL,-1.7175,Bullish Trend,10
2001,2006,LONG,37867.1,38662.01081283973,TP,2.0192,Bullish Trend,5
2006,2014,LONG,38234.9,38997.33724936169,TP,1.9141,Bullish Trend,8
