model,entry_time,exit_time,side,entry_price,exit_price,sl,tp,sl_pct,tp_pct,notional,leverage,pnl_usd,equity,exit_type,gate,regime,bcd_conf,holding_candles,actual_move_pct,vol_regime,heston_sl_mult,heston_tp_mult
GOLDEN,2026-01-14T12:00:00+00:00,2026-01-14T20:00:00+00:00,LONG,96691.9,97378.41,95403.0,97378.41,0.01333,0.0071,15000.0,15.0,94.5,11966.26,TP,ACTIVE,bull,1.0,2,0.71,N/A,,
GOLDEN,2026-01-14T16:00:00+00:00,2026-01-15T00:00:00+00:00,LONG,97221.8,95925.83,95925.83,97912.07,0.01333,0.0071,15000.0,15.0,-211.95,11754.31,SL,ACTIVE,bull,1.0,2,-1.333,N/A,,
GOLDEN,2026-01-14T20:00:00+00:00,2026-01-15T12:00:00+00:00,LONG,96907.9,95616.12,95616.12,97595.95,0.01333,0.0071,15000.0,15.0,-211.95,11542.36,SL,ACTIVE,bull,1.0,4,-1.333,N/A,,
GOLDEN,2026-01-15T08:00:00+00:00,2026-01-15T16:00:00+00:00,LONG,96548.9,95261.9,95261.9,97234.4,0.01333,0.0071,15000.0,15.0,-211.95,11330.41,SL,ACTIVE,bull,1.0,2,-1.333,N/A,,
GOLDEN,2026-01-15T12:00:00+00:00,2026-01-15T20:00:00+00:00,LONG,96717.3,95428.06,95428.06,97403.99,0.01333,0.0071,15000.0,15.0,-211.95,11118.46,SL,ACTIVE,bull,1.0,2,-1.333,N/A,,
GOLDEN,2026-01-15T16:00:00+00:00,2026-01-16T16:00:00+00:00,LONG,95469.2,94961.0,94196.6,96147.03,0.01333,0.0071,15000.0,15.0,-91.85,11026.61,TIME_EXIT,ACTIVE,bull,1.0,6,-0.5323,N/A,,
GOLDEN,2026-01-16T12:00:00+00:00,2026-01-16T20:00:00+00:00,LONG,94537.5,95503.7,93277.32,95208.72,0.01333,0.0071,15000.0,15.0,141.3,11167.91,TRAIL_TP,ACTIVE,bull,1.0,2,1.022,N/A,,
GOLDEN,2026-01-16T16:00:00+00:00,2026-01-17T16:00:00+00:00,LONG,94961.0,95258.3,93695.17,95635.22,0.01333,0.0071,15000.0,15.0,34.96,11202.87,TIME_EXIT,ACTIVE,bull,1.0,6,0.3131,N/A,,
GOLDEN,2026-01-17T12:00:00+00:00,2026-01-18T12:00:00+00:00,LONG,95529.0,95067.8,94255.6,96207.26,0.01333,0.0071,15000.0,15.0,-84.42,11118.45,TIME_EXIT,ACTIVE,bull,1.0,6,-0.4828,N/A,,
GOLDEN,2026-01-18T08:00:00+00:00,2026-01-18T20:00:00+00:00,LONG,95133.4,93865.27,93865.27,95808.85,0.01333,0.0071,15000.0,15.0,-211.95,10906.5,SL,ACTIVE,bull,1.0,3,-1.333,N/A,,
GOLDEN,2026-01-18T16:00:00+00:00,2026-01-19T00:00:00+00:00,LONG,95335.6,94064.78,94064.78,96012.48,0.01333,0.0071,15000.0,15.0,-211.95,10694.55,SL,ACTIVE,bull,1.0,2,-1.333,N/A,,
GOLDEN,2026-01-18T20:00:00+00:00,2026-01-19T04:00:00+00:00,LONG,93614.0,92366.13,92366.13,94278.66,0.01333,0.0071,15000.0,15.0,-211.95,10482.6,SL,ACTIVE,bull,1.0,2,-1.333,N/A,,
GOLDEN,2026-01-19T00:00:00+00:00,2026-01-19T16:00:00+00:00,LONG,92656.6,93314.46,91421.49,93314.46,0.01333,0.0071,15000.0,15.0,94.5,10577.1,TP,ACTIVE,bull,1.0,4,0.71,N/A,,
GOLDEN,2026-01-19T12:00:00+00:00,2026-01-20T04:00:00+00:00,LONG,93013.5,91773.63,91773.63,93673.9,0.01333,0.0071,15000.0,15.0,-211.95,10365.15,SL,ACTIVE,bull,1.0,4,-1.333,N/A,,
GOLDEN,2026-01-20T00:00:00+00:00,2026-01-20T08:00:00+00:00,LONG,92397.0,91165.35,91165.35,93053.02,0.01333,0.0071,15000.0,15.0,-211.95,10153.2,SL,ACTIVE,bull,1.0,2,-1.333,N/A,,
GOLDEN,2026-01-20T20:00:00+00:00,2026-01-21T04:00:00+00:00,SHORT,88390.6,89568.85,89568.85,87763.03,0.01333,0.0071,15000.0,15.0,-211.95,9941.25,SL,ACTIVE,bear,1.0,2,-1.333,N/A,,
GOLDEN,2026-01-21T20:00:00+00:00,2026-01-22T12:00:00+00:00,SHORT,89411.4,88776.58,90603.25,88776.58,0.01333,0.0071,15000.0,15.0,94.5,10035.75,TP,ACTIVE,bear,1.0,4,0.71,N/A,,
GOLDEN,2026-01-22T08:00:00+00:00,2026-01-22T16:00:00+00:00,SHORT,89909.6,89271.24,91108.09,89271.24,0.01333,0.0071,15000.0,15.0,94.5,10130.25,TP,ACTIVE,bear,1.0,2,0.71,N/A,,
