model,entry_time,exit_time,side,entry_price,exit_price,sl,tp,sl_pct,tp_pct,notional,leverage,pnl_usd,equity,exit_type,gate,regime,bcd_conf,holding_candles,actual_move_pct,vol_regime,heston_sl_mult,heston_tp_mult
HESTON,2021-09-05T12:00:00+00:00,2021-09-05T20:00:00+00:00,LONG,50250.69,51799.57,49137.14,51735.43,0.02216,0.029547,193261.36,1,5802.3,219935.37,TRAIL_TP,ACTIVE,bull,1.0,2,3.0823,Normal,1.5,2.0
HESTON,2021-09-05T16:00:00+00:00,2021-09-06T08:00:00+00:00,LONG,50723.01,52210.91,49607.09,52210.91,0.022,0.029334,399875.78,2,11409.99,231345.36,TP,ACTIVE,bull,1.0,4,2.9334,Normal,1.5,2.0
HESTON,2021-09-06T04:00:00+00:00,2021-09-07T04:00:00+00:00,LONG,51824.8,52379.52,50711.96,53308.59,0.021473,0.028631,430947.84,2,4268.0,235613.36,TIME_EXIT,ACTIVE,bull,1.0,6,1.0704,Normal,1.5,2.0
HESTON,2021-09-07T00:00:00+00:00,2021-09-07T08:00:00+00:00,LONG,52680.9,51542.63,51542.63,54198.6,0.021607,0.028809,436180.83,2,-9773.48,225839.88,SL,ACTIVE,bull,1.0,2,-2.1607,Normal,1.5,2.0
HESTON,2021-09-07T04:00:00+00:00,2021-09-07T12:00:00+00:00,LONG,52379.52,51251.35,51251.35,53883.74,0.021538,0.028718,419419.79,2,-9369.13,216470.75,SL,ACTIVE,bull,1.0,2,-2.1538,Normal,1.5,2.0
HESTON,2021-09-16T00:00:00+00:00,2021-09-17T00:00:00+00:00,LONG,47614.56,47899.18,46334.01,49321.96,0.026894,0.035859,160980.04,1,833.49,217304.24,TIME_EXIT,ADVISORY,bull,1.0,6,0.5978,Normal,1.5,2.0
HESTON,2021-09-16T20:00:00+00:00,2021-09-17T20:00:00+00:00,LONG,47745.55,47303.11,46446.66,49477.4,0.027204,0.036272,159757.15,1,-1608.21,215696.03,TIME_EXIT,ADVISORY,bull,1.0,6,-0.9267,Normal,1.5,2.0
HESTON,2021-09-18T00:00:00+00:00,2021-09-19T00:00:00+00:00,LONG,47917.73,47850.55,46691.7,49552.43,0.025586,0.034115,168604.25,1,-371.26,215324.77,TIME_EXIT,ADVISORY,bull,1.0,6,-0.1402,Normal,1.5,2.0
HESTON,2021-09-18T20:00:00+00:00,2021-09-19T12:00:00+00:00,LONG,48285.15,47176.9,47176.9,49762.82,0.022952,0.030603,187628.22,1,-4456.6,210868.17,SL,ADVISORY,bull,1.0,4,-2.2952,Normal,1.5,2.0
HESTON,2021-09-20T00:00:00+00:00,2021-09-20T08:00:00+00:00,SHORT,45552.92,43731.44,46822.09,43860.7,0.027861,0.037149,151369.44,1,5931.57,216799.74,TRAIL_TP,ADVISORY,bear,1.0,2,3.9986,Normal,1.5,2.0
