config,entry_time,exit_time,side,size,entry_price,exit_price,pnl_pct,exit_type,holding_minutes,l1_regime,l4_volatility_bucket,exhaustion_bucket
baseline,2026-02-14 12:00:00+00:00,2026-02-14 16:00:00+00:00,-1.0,1.0,69754.2,69258.94518,0.007099999999999995,TP,83.0,bear,low,low
baseline,2026-02-15 04:00:00+00:00,2026-02-15 08:00:00+00:00,-1.0,0.5,70784.0,70281.4336,0.0035499999999999976,TP,1.0,bull,low,mid
baseline,2026-02-15 08:00:00+00:00,2026-02-15 12:00:00+00:00,-1.0,1.0,70268.7,69068.1,0.01708584334134533,TIME_EXIT,240.0,bull,low,low
baseline,2026-02-15 12:00:00+00:00,2026-02-15 16:00:00+00:00,-1.0,1.0,69068.1,69988.77777300001,-0.013330000000000064,SL,1.0,bull,low,low
baseline,2026-02-15 16:00:00+00:00,2026-02-15 20:00:00+00:00,1.0,1.0,68263.6,68748.27156000001,0.007100000000000106,TP,1.0,bull,low,low
baseline,2026-02-15 20:00:00+00:00,2026-02-16 00:00:00+00:00,1.0,1.0,68796.9,68392.6,-0.005876718282364246,TIME_EXIT,240.0,bull,low,low
baseline,2026-02-16 00:00:00+00:00,2026-02-16 04:00:00+00:00,-1.0,1.0,68392.6,68552.4,-0.002336510090272803,TIME_EXIT,240.0,bull,low,low
baseline,2026-02-16 08:00:00+00:00,2026-02-16 12:00:00+00:00,1.0,1.0,68769.4,67505.5,-0.018378813832896523,TIME_EXIT,240.0,bull,low,low
baseline,2026-02-16 12:00:00+00:00,2026-02-16 16:00:00+00:00,1.0,1.0,67505.5,67984.78905,0.007100000000000106,TP,1.0,bull,low,low
baseline,2026-02-16 20:00:00+00:00,2026-02-17 00:00:00+00:00,1.0,1.0,68862.5,67944.562875,-0.013329999999999953,SL,1.0,bull,low,low
baseline,2026-02-17 00:00:00+00:00,2026-02-17 04:00:00+00:00,-1.0,1.0,68443.6,68353.4,0.0013178734023343575,TIME_EXIT,240.0,bull,low,low
baseline,2026-02-17 04:00:00+00:00,2026-02-17 08:00:00+00:00,-1.0,1.0,68353.4,67868.09086,0.007099999999999995,TP,96.0,bull,low,low
baseline,2026-02-17 08:00:00+00:00,2026-02-17 12:00:00+00:00,-1.0,1.0,67824.4,67363.6,0.0067940151331967735,TIME_EXIT,240.0,bull,low,low
