entry_time,exit_time,side,entry_price,exit_price,initial_sl,sl,tp,risk_usd,pnl_usd,equity,exit_type,gate,fgi,regime,trail_count,final_sl,tp_extension_factor,holding_duration
2025-04-12T16:00:00+00:00,2025-04-16T16:00:00+00:00,LONG,84891.8,84286.0,82430.53,82430.53,89543.59,301.64,-74.48,15007.36,TIME_EXIT,ADVISORY,43.0,bull,0,82430.53,1.5,24
2025-04-16T20:00:00+00:00,2025-04-20T20:00:00+00:00,LONG,83990.0,85138.8,82105.58,82105.58,87551.56,300.15,182.74,15190.1,TIME_EXIT,ACTIVE,29.0,bull,0,82105.58,1.5,24
2025-04-21T00:00:00+00:00,2025-04-21T16:00:00+00:00,LONG,87166.6,87166.6,85967.6,87166.6,89432.71,303.8,-0.24,15189.86,TRAIL_SL,ACTIVE,39.0,bull,1,87166.6,1.5,3
2025-04-21T12:00:00+00:00,2025-04-22T12:00:00+00:00,LONG,87997.4,90490.42,86678.34,86678.34,90490.42,303.8,573.93,15763.79,TP,ACTIVE,39.0,bull,0,86678.34,1.5,5
2025-04-22T08:00:00+00:00,2025-04-22T16:00:00+00:00,LONG,88572.7,91213.52,87175.44,89038.45,91213.52,315.28,595.62,16359.41,TP,ACTIVE,47.0,bull,1,89038.45,1.5,1
2025-04-22T12:00:00+00:00,2025-04-22T20:00:00+00:00,LONG,90881.2,93928.76,89268.73,89268.73,93928.76,327.19,618.12,16977.53,TP,ACTIVE,47.0,bull,0,89268.73,1.5,1
2025-04-22T16:00:00+00:00,2025-04-23T08:00:00+00:00,LONG,91356.4,94414.07,89738.59,91895.67,94414.07,339.55,641.48,17619.01,TP,ACTIVE,47.0,bull,2,91895.67,1.5,3
2025-04-23T04:00:00+00:00,2025-04-23T12:00:00+00:00,LONG,94102.5,92247.02,92247.02,92247.02,97609.36,352.38,-352.66,17266.35,SL,ACTIVE,72.0,bull,0,92247.02,1.5,1
2025-04-23T08:00:00+00:00,2025-04-27T08:00:00+00:00,LONG,93425.2,93871.1,91576.58,93425.2,96919.1,345.33,83.02,17349.37,TIME_EXIT,ACTIVE,72.0,bull,1,93425.2,1.5,24
2025-04-27T12:00:00+00:00,2025-04-28T12:00:00+00:00,LONG,93857.7,93857.7,92470.17,93857.7,96480.13,346.99,-0.28,17349.09,TRAIL_SL,ACTIVE,61.0,bull,1,93857.7,1.5,5
2025-04-28T08:00:00+00:00,2025-04-28T16:00:00+00:00,LONG,95276.1,93840.47,93840.47,93840.47,97989.45,346.98,-347.26,17001.83,SL,ACTIVE,54.0,bull,0,93840.47,1.5,1
2025-04-28T12:00:00+00:00,2025-04-29T20:00:00+00:00,LONG,93772.8,93772.8,92219.15,93772.8,96709.21,340.04,-0.27,17001.56,TRAIL_SL,ACTIVE,54.0,bull,1,93772.8,1.5,7
2025-04-29T16:00:00+00:00,2025-04-30T12:00:00+00:00,LONG,95250.5,93785.92,93785.92,93785.92,98018.55,340.03,-340.3,16661.26,SL,ACTIVE,60.0,bull,0,93785.92,1.5,4
2025-04-30T08:00:00+00:00,2025-04-30T16:00:00+00:00,LONG,95126.5,93654.83,93654.83,93654.83,97907.95,333.23,-333.49,16327.76,SL,ACTIVE,56.0,bull,0,93654.83,1.5,1
2025-04-30T20:00:00+00:00,2025-05-01T12:00:00+00:00,LONG,94125.1,97109.0,92546.31,94125.1,97109.0,326.56,616.93,16944.69,TP,ACTIVE,56.0,bull,1,94125.1,1.5,3
2025-05-01T08:00:00+00:00,2025-05-03T04:00:00+00:00,LONG,96129.9,96129.9,94576.01,96129.9,99066.76,338.89,-0.27,16944.42,TRAIL_SL,ACTIVE,53.0,bull,1,96129.9,1.5,10
2025-05-03T00:00:00+00:00,2025-05-04T20:00:00+00:00,LONG,96292.1,94841.65,94841.65,94841.65,99033.45,338.89,-339.16,16605.26,SL,ACTIVE,65.0,bull,0,94841.65,1.5,10
2025-05-04T16:00:00+00:00,2025-05-05T00:00:00+00:00,SHORT,95533.9,94105.91,96667.22,95533.9,94105.91,332.11,418.19,17023.45,TP,ACTIVE,64.0,neutral,1,95533.9,1.0,1
2025-05-04T20:00:00+00:00,2025-05-06T20:00:00+00:00,SHORT,94230.2,95452.24,95452.24,95452.24,92690.43,340.47,-340.74,16682.71,SL,ACTIVE,64.0,neutral,0,95452.24,1.0,11
2025-05-06T20:00:00+00:00,2025-05-08T08:00:00+00:00,LONG,96798.9,99673.41,95278.0,97305.87,99673.41,333.65,630.34,17313.05,TP,ACTIVE,59.0,bull,1,97305.87,1.5,8
2025-05-08T04:00:00+00:00,2025-05-08T20:00:00+00:00,LONG,99212.0,102253.54,97602.72,99212.0,102253.54,346.26,654.16,17967.2,TP,ACTIVE,65.0,bull,1,99212.0,1.5,3
2025-05-08T16:00:00+00:00,2025-05-10T20:00:00+00:00,LONG,101254.2,104500.89,99536.38,101826.81,104500.89,359.34,678.87,18646.08,TP,ACTIVE,65.0,bull,2,101826.81,1.5,12
2025-05-10T16:00:00+00:00,2025-05-12T12:00:00+00:00,LONG,103148.6,103148.6,101492.78,103148.6,106278.09,372.92,-0.3,18645.78,TRAIL_SL,ACTIVE,70.0,bull,1,103148.6,1.5,10
2025-05-12T08:00:00+00:00,2025-05-12T16:00:00+00:00,LONG,103705.1,101809.4,101809.4,101809.4,107287.97,372.92,-373.21,18272.56,SL,ACTIVE,70.0,bull,0,101809.4,1.5,1
2025-05-12T12:00:00+00:00,2025-05-15T04:00:00+00:00,LONG,102481.7,102481.7,100477.65,102481.7,106269.36,365.45,-0.29,18272.27,TRAIL_SL,ACTIVE,70.0,bull,1,102481.7,1.5,15
2025-05-15T00:00:00+00:00,2025-05-17T00:00:00+00:00,LONG,102706.1,102706.1,100898.62,102706.1,106122.23,365.45,-0.29,18271.98,TRAIL_SL,ACTIVE,70.0,bull,1,102706.1,1.5,11
2025-05-16T20:00:00+00:00,2025-05-18T20:00:00+00:00,LONG,103412.2,103412.2,101744.17,103412.2,106564.78,365.44,-0.29,18271.69,TRAIL_SL,ACTIVE,71.0,bull,1,103412.2,1.5,11
2025-05-18T16:00:00+00:00,2025-05-19T00:00:00+00:00,SHORT,103834.0,105367.18,105367.18,105367.18,101902.19,365.43,-365.73,17905.96,SL,ADVISORY,74.0,neutral,0,105367.18,1.0,1
2025-05-18T20:00:00+00:00,2025-05-19T04:00:00+00:00,LONG,106407.6,104618.3,104618.3,104618.3,109789.39,358.12,-358.41,17547.55,SL,ACTIVE,74.0,bull,0,104618.3,1.5,1
2025-05-19T00:00:00+00:00,2025-05-19T20:00:00+00:00,SHORT,103569.4,105617.89,105617.89,105617.89,100988.31,350.95,-351.23,17196.32,SL,ACTIVE,74.0,neutral,0,105617.89,1.0,4
2025-05-20T16:00:00+00:00,2025-05-21T16:00:00+00:00,LONG,106972.2,106972.2,104901.21,106972.2,110886.38,343.93,-0.28,17196.05,TRAIL_SL,ACTIVE,71.0,bull,1,106972.2,1.5,5
2025-05-21T12:00:00+00:00,2025-05-23T08:00:00+00:00,LONG,108936.6,108936.6,106754.71,108936.6,113060.37,343.92,-0.28,17195.77,TRAIL_SL,ACTIVE,70.0,bull,1,108936.6,1.5,10
2025-05-23T04:00:00+00:00,2025-05-23T12:00:00+00:00,LONG,110685.2,108471.63,108471.63,108471.63,114868.84,343.92,-344.19,16851.58,SL,ACTIVE,78.0,bull,0,108471.63,1.5,1
