signal_time,entry_time,exit_time,side,entry_price,exit_price,pnl_usd,exit_type,holding_candles,bcd_conf,regime,gate,entry_mode,limit_px,miss_reason,execution_resolution
2025-08-12T00:00:00+00:00,,,LONG,,,,MISS,0,0.9333,bull,ACTIVE,pullback,118219.03,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2025-08-12T04:00:00+00:00,2025-08-12T08:00:00+00:00,2025-08-12T12:00:00+00:00,LONG,118337.24,119888.0,184.57,TRAIL_TP,1,0.9333,bull,ACTIVE,pullback,118337.24,,4H_OHLC_APPROX
2025-08-12T16:00:00+00:00,,,LONG,,,,MISS,0,0.9333,bull,ACTIVE,pullback,119002.3,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2025-08-12T20:00:00+00:00,2025-08-13T00:00:00+00:00,2025-08-13T08:00:00+00:00,LONG,119480.6,120538.5,120.81,TRAIL_TP,2,0.9333,bull,ACTIVE,pullback,119480.6,,4H_OHLC_APPROX
2025-08-13T12:00:00+00:00,,,LONG,,,,MISS,0,0.9333,bull,ACTIVE,pullback,120292.71,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2025-08-13T16:00:00+00:00,,,LONG,,,,MISS,0,0.9333,bull,ACTIVE,pullback,122106.3,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2025-08-13T20:00:00+00:00,,,LONG,,,,MISS,0,0.9333,bull,ACTIVE,pullback,122707.28,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2025-08-14T00:00:00+00:00,2025-08-14T04:00:00+00:00,2025-08-14T08:00:00+00:00,LONG,122788.17,121151.41,-211.95,SL,1,0.9333,bull,ACTIVE,pullback,122788.17,,4H_OHLC_APPROX
2025-08-14T20:00:00+00:00,2025-08-15T00:00:00+00:00,2025-08-15T12:00:00+00:00,SHORT,118833.41,117216.8,192.06,TRAIL_TP,3,0.9333,bear,ACTIVE,pullback,118833.41,,4H_OHLC_APPROX
2025-08-15T16:00:00+00:00,2025-08-15T20:00:00+00:00,2025-08-16T20:00:00+00:00,SHORT,117484.5,117329.7,7.76,TIME_EXIT,6,0.9333,bear,ACTIVE,pullback,117484.5,,4H_OHLC_APPROX
2025-08-17T00:00:00+00:00,,,SHORT,,,,MISS,0,0.9333,bear,ACTIVE,pullback,118215.54,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2025-08-17T04:00:00+00:00,,,SHORT,,,,MISS,0,0.9333,bear,ACTIVE,pullback,118539.65,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2025-08-17T08:00:00+00:00,,,SHORT,,,,MISS,0,0.9333,bear,ACTIVE,pullback,118845.17,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2025-08-17T12:00:00+00:00,,,SHORT,,,,MISS,0,0.9333,bear,ACTIVE,pullback,118781.95,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2025-08-17T16:00:00+00:00,,,SHORT,,,,MISS,0,0.9333,bear,ACTIVE,pullback,118114.63,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2025-08-17T20:00:00+00:00,,,SHORT,,,,MISS,0,0.9333,bear,ACTIVE,pullback,117940.57,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2025-08-18T00:00:00+00:00,,,SHORT,,,,MISS,0,0.933,bear,ACTIVE,pullback,115841.22,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2025-08-18T04:00:00+00:00,,,SHORT,,,,MISS,0,0.9333,bear,ACTIVE,pullback,115728.97,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2025-08-18T08:00:00+00:00,2025-08-18T12:00:00+00:00,2025-08-19T04:00:00+00:00,SHORT,115474.5,114654.63,94.5,TP,4,0.9333,bear,ACTIVE,pullback,115474.5,,4H_OHLC_APPROX
2025-08-19T08:00:00+00:00,,,SHORT,,,,MISS,0,0.9333,bear,ACTIVE,pullback,116038.3,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2025-08-19T12:00:00+00:00,,,SHORT,,,,MISS,0,0.9333,bear,ACTIVE,pullback,114298.65,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2025-08-19T16:00:00+00:00,,,SHORT,,,,MISS,0,0.9333,bear,ACTIVE,pullback,113643.69,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2025-08-19T20:00:00+00:00,2025-08-20T00:00:00+00:00,2025-08-20T12:00:00+00:00,SHORT,113388.32,112583.26,94.5,TP,3,0.9333,bear,ACTIVE,pullback,113388.32,,4H_OHLC_APPROX
2025-08-20T16:00:00+00:00,,,SHORT,,,,MISS,0,0.9333,bear,ACTIVE,pullback,114787.38,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2025-08-20T20:00:00+00:00,,,SHORT,,,,MISS,0,0.9333,bear,ACTIVE,pullback,114791.6,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2025-08-21T00:00:00+00:00,,,SHORT,,,,MISS,0,0.9333,bear,ACTIVE,pullback,114481.66,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2025-08-21T04:00:00+00:00,,,SHORT,,,,MISS,0,0.9333,bear,ACTIVE,pullback,114405.98,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2025-08-21T08:00:00+00:00,2025-08-21T12:00:00+00:00,2025-08-21T16:00:00+00:00,SHORT,113665.7,112152.8,187.65,TRAIL_TP,1,0.9333,bear,ACTIVE,pullback,113665.7,,4H_OHLC_APPROX
2025-08-21T20:00:00+00:00,2025-08-22T00:00:00+00:00,2025-08-22T08:00:00+00:00,SHORT,113024.51,112222.04,94.5,TP,2,0.9333,bear,ACTIVE,pullback,113024.51,,4H_OHLC_APPROX
