entry_time,exit_time,side,entry,exit,exit_type,size_usd,net_pnl,equity
2023-08-08 16:00:00,2023-08-09 12:00:00,SHORT,29866.4,29427.723934499383,TP,73888.20423303745,1026.1553782689102,41723.62819034402
2023-08-09 12:00:00,2023-08-11 12:00:00,SHORT,29749.4,29242.751356971945,TP,65331.424268953,1060.3649456606804,42783.9931360047
2023-08-11 12:00:00,2023-08-16 12:00:00,SHORT,29383.0,28972.333929080018,TP,81631.42168844491,1075.6013462760343,43859.59448228073
2023-08-16 12:00:00,2023-08-16 16:00:00,SHORT,29098.0,28787.1625709824,TP,109487.15618784288,1081.9994612438788,44941.59394352461
2023-08-16 16:00:00,2023-08-16 20:00:00,SHORT,29105.5,28775.49381591223,TP,105698.83237302063,1113.8834392622434,46055.477382786856
2023-08-16 20:00:00,2023-08-17 08:00:00,SHORT,28714.4,28346.922829061357,TP,95966.44394769556,1151.3729083828223,47206.85029116968
2023-08-17 08:00:00,2023-08-17 12:00:00,SHORT,28540.0,28149.20672574628,TP,91934.95016909443,1185.301380962581,48392.15167213226
2023-08-17 12:00:00,2023-08-17 16:00:00,SHORT,27920.9,27455.977673907262,TP,77498.38926014047,1228.4586665154131,49620.610338647675
2023-08-17 16:00:00,2023-08-17 20:00:00,SHORT,27889.4,27403.686411485316,TP,75978.33141189891,1262.4336105677505,50883.043949215426
2023-08-17 20:00:00,2023-08-18 12:00:00,SHORT,26609.7,25682.280239236363,TP,38931.886562651904,1325.7356627289598,52208.77961194439
2023-08-18 12:00:00,2023-08-23 12:00:00,SHORT,25993.1,26679.540334505873,SL,39539.285823234735,-1075.807020897474,51132.97259104691
2023-08-23 12:00:00,2023-08-23 16:00:00,SHORT,26134.3,26550.353933450933,SL,64238.03926102243,-1074.0498832297533,50058.92270781716
2023-09-06 12:00:00,2023-09-07 12:00:00,LONG,25576.3,25960.18847906999,TP,88937.08075176088,1263.7549409403887,51322.67764875755
2023-09-07 12:00:00,2023-09-07 16:00:00,LONG,25766.7,26166.27893513908,TP,88253.97082636239,1298.0015606391091,52620.67920939666
2023-09-07 16:00:00,2023-09-07 20:00:00,LONG,25867.1,26268.380439771998,TP,90453.407726577,1330.8553860693044,53951.534595465964
2023-09-07 20:00:00,2023-09-08 04:00:00,LONG,26240.7,25896.126122301645,SL,82172.56881547938,-1144.7687469616992,52806.76584850426
2023-09-08 04:00:00,2023-09-08 08:00:00,LONG,26244.1,25899.312064637637,SL,80389.47430966428,-1120.4468964178204,51686.31895208644
2023-09-08 08:00:00,2023-09-11 08:00:00,LONG,25828.9,25441.464774306383,SL,68914.7849781347,-1088.858207024234,50597.460745062206
2023-09-11 08:00:00,2023-09-11 12:00:00,LONG,25591.9,25305.39124277029,SL,45195.3081002464,-542.1308539308195,50055.32989113138
2023-09-11 12:00:00,2023-09-11 20:00:00,LONG,25102.5,25576.46798514155,TP,35347.36404096634,639.1265073156452,50694.45639844703
2023-09-11 20:00:00,2023-09-12 00:00:00,LONG,25150.4,25640.30913004552,TP,69399.85549755799,1296.332286227198,51990.788684674226
2023-09-12 00:00:00,2023-09-12 08:00:00,LONG,25788.2,26362.058477899413,TP,62303.345204129124,1336.5783554280092,53327.36704010223
2023-09-12 08:00:00,2023-09-14 08:00:00,LONG,26087.2,26720.853483494902,TP,58545.63419639124,1375.2266137122822,54702.59365381451
2023-09-14 08:00:00,2023-09-14 12:00:00,LONG,26431.5,26679.9,REGIME_FLIP,59494.27728813069,511.52451000732884,55214.11816382184
2023-09-30 12:00:00,2023-10-01 16:00:00,LONG,26986.2,27450.28233925788,TP,85618.09601719913,1403.8820075548276,56618.00017137667
2023-10-01 16:00:00,2023-10-01 20:00:00,LONG,27091.1,27478.447590332664,TP,105596.38200755544,1425.3362322973242,58043.336403673995
2023-10-01 20:00:00,2023-10-02 08:00:00,LONG,27981.4,28533.96561959462,TP,78380.25654158684,1485.1180988646968,59528.45450253869
2023-10-02 08:00:00,2023-10-02 12:00:00,LONG,28183.2,27725.960021979947,SL,73383.88678088693,-1249.276199475479,58279.178303063214
2023-10-02 12:00:00,2023-10-02 16:00:00,LONG,28015.0,27521.634306124233,SL,66185.84147325993,-1218.5322392398757,57060.64606382334
2023-10-02 16:00:00,2023-10-02 20:00:00,LONG,27955.3,27443.56042711536,SL,62342.15852865423,-1191.0866480993864,55869.559415723954
2023-10-02 20:00:00,2023-10-06 16:00:00,LONG,27477.6,28211.239471190504,TP,27900.37824819372,722.6071562777651,56592.16657200172
2023-10-06 16:00:00,2023-10-08 12:00:00,LONG,27939.1,27883.5,REGIME_FLIP,65515.09308735328,-182.78990251934437,56409.37666948237
2023-10-16 12:00:00,2023-10-18 00:00:00,LONG,28054.0,28938.2927953503,TP,47722.011273691314,1466.0724355005761,57875.449104982945
2023-10-18 00:00:00,2023-10-19 20:00:00,LONG,28498.0,29283.46866053617,TP,55994.91977075855,1498.5493736496092,59373.99847863255
2023-10-19 20:00:00,2023-10-20 00:00:00,LONG,28696.9,29404.988668529764,TP,64167.09366749228,1531.9729511628736,60905.97142979543
2023-10-20 00:00:00,2023-10-20 04:00:00,LONG,29222.8,30000.310906491923,TP,61044.13479948581,1575.3239302882873,62481.29536008371
2023-10-20 04:00:00,2023-10-21 12:00:00,LONG,29228.5,29992.674413171073,TP,63728.36741476112,1615.1851823370919,64096.4805424208
2023-10-21 12:00:00,2023-10-22 20:00:00,LONG,29916.5,30665.80259483059,TP,68242.74103684783,1654.645288301738,65751.12583072254
2023-10-22 20:00:00,2023-10-23 00:00:00,LONG,29981.5,30682.325310670505,TP,75009.3677298947,1693.3558613020211,67444.48169202455
2023-10-23 00:00:00,2023-10-23 16:00:00,LONG,30724.0,31510.28064562261,TP,70277.34154183362,1742.2976385538573,69186.77933057841
2023-10-23 16:00:00,2023-10-23 20:00:00,LONG,31339.9,32276.05454809526,TP,61764.92261038536,1795.5688440604536,70982.34817463887
2023-10-23 20:00:00,2023-10-24 04:00:00,LONG,33074.0,34611.814937517025,TP,40710.05990388907,1860.2945700672617,72842.64274470613
2023-10-24 04:00:00,2023-11-01 20:00:00,LONG,34025.9,35805.90471653254,TP,37131.53423691003,1912.7652458026387,74755.40799050877
2023-11-01 20:00:00,2023-11-02 08:00:00,LONG,35437.4,34718.25140513291,SL,73674.26743321291,-1554.0475737567476,73201.36041675202
2023-11-02 08:00:00,2023-11-02 12:00:00,LONG,35377.5,34646.28182838083,SL,70831.96858768452,-1520.6927832051924,71680.66763354684
2023-11-02 12:00:00,2023-11-07 16:00:00,LONG,34645.2,35684.074879147534,TP,63745.65705379346,1860.487944584876,73541.15557813171
2023-11-07 16:00:00,2023-11-08 20:00:00,LONG,35473.4,36334.752386537446,TP,80764.61679126818,1896.485788650486,75437.6413667822
2023-11-16 20:00:00,2023-11-19 16:00:00,LONG,36176.0,37482.887398294144,TP,55685.12620438188,1967.1223354840251,77404.76370226622
2023-11-19 16:00:00,2023-11-21 08:00:00,LONG,36961.9,36304.88204928844,SL,87091.29278395638,-1617.768308272483,75786.99539399374
2023-11-21 08:00:00,2023-11-21 16:00:00,LONG,37189.5,36510.11183049128,SL,82971.13761174338,-1582.116817969262,74204.87857602448
2023-11-21 16:00:00,2023-11-21 20:00:00,LONG,36989.9,36201.52831302564,SL,69632.9176552117,-1539.8039056446614,72665.07467037982
2023-11-21 20:00:00,2023-11-22 12:00:00,LONG,35737.0,36923.07923149206,TP,29192.33616716152,945.5137933379995,73610.58846371782
2023-11-22 12:00:00,2023-11-22 16:00:00,LONG,36480.5,37592.11887574565,TP,64418.98702375281,1911.413836080133,75522.00229979795
2023-11-22 16:00:00,2023-11-29 04:00:00,LONG,37297.0,38483.04609890667,TP,63330.739502106684,1963.2554697262576,77485.2577695242
2023-11-29 04:00:00,2023-11-30 08:00:00,LONG,38095.7,37456.3980347068,SL,92346.19302497111,-1623.582109810452,75861.67565971376
2023-11-30 08:00:00,2023-12-01 04:00:00,LONG,37867.1,38708.27546332247,TP,91068.17094664258,1950.1234808350532,77811.79914054881
2023-12-01 04:00:00,2023-12-02 12:00:00,LONG,38234.9,39041.71190408645,TP,98333.57998777347,1996.314446424408,79808.11358697322
2023-12-02 12:00:00,2023-12-02 16:00:00,LONG,38787.0,39495.587018074904,TP,116495.39991509108,2035.0200423871977,81843.13362936043
2023-12-02 16:00:00,2023-12-03 16:00:00,LONG,39416.4,40247.50223106956,TP,103507.89820362738,2099.6772448866955,83942.81087424712
2023-12-03 16:00:00,2023-12-03 20:00:00,LONG,39555.1,40324.32339294833,TP,115107.13476650446,2146.3892488333836,86089.2001230805
2023-12-03 20:00:00,2023-12-04 00:00:00,LONG,39979.7,40818.07886488059,TP,109475.41859931218,2208.131668402684,88297.33179148319
2023-12-04 00:00:00,2023-12-04 04:00:00,LONG,40720.7,41634.18037453198,TP,104962.05527564064,2270.625870219043,90567.95766170222
2023-12-04 04:00:00,2023-12-05 08:00:00,LONG,41471.9,42477.0603477797,TP,99646.46381437687,2335.428366593897,92903.38602829613
2023-12-05 08:00:00,2023-12-05 12:00:00,LONG,41730.9,42827.058490947995,TP,94315.84803411223,2401.97094899394,95305.35697729007
2023-12-05 12:00:00,2023-12-05 16:00:00,LONG,42266.7,43405.70431302313,TP,94310.2763397573,2466.0279649892673,97771.38494227933
2023-12-05 16:00:00,2023-12-07 04:00:00,LONG,43834.0,42819.30056771603,SL,84472.51966847442,-2023.005714580359,95748.37922769897
2023-12-07 04:00:00,2023-12-07 08:00:00,LONG,43899.4,42993.03733197962,SL,92750.87219223221,-1989.1682823077685,93759.2109453912
2023-12-07 08:00:00,2023-12-08 16:00:00,LONG,43206.4,44485.20616040619,TP,84474.57943647972,2432.6659616612483,96191.87690705244
2023-12-08 16:00:00,2023-12-10 20:00:00,LONG,43967.6,43078.021972769704,SL,95086.11583553959,-1999.9064308094898,94191.97047624295
2023-12-10 20:00:00,2023-12-11 00:00:00,LONG,43810.0,43127.88364049962,SL,120992.55996694481,-1980.6334574984116,92211.33701874454
2024-01-03 12:00:00,2024-01-08 08:00:00,LONG,43014.0,44851.86433909999,TP,57550.54372825841,2412.9285521839142,94624.26557092846
