side,entry,sl,tp,initial_sl,entry_time,entry_idx,entry_atr,risk_usd,tp_extension_factor,trail_count,master_score,gate,regime,fgi,exit_time,exit_price,pnl_usd,equity,exit_type,holding_duration
SHORT,103715.8,105693.2806516043,99760.83869679138,105693.2806516043,2025-11-09T12:00:00+00:00,6523,1318.320434402873,144.76587240165395,1.5,0,-6,LEVEL6,bear,22.0,2025-11-10T00:00:00+00:00,105693.28,-144.88,7093.41,SL,2
SHORT,106136.6,105473.65917916388,102158.9550749832,108125.4224625084,2025-11-10T08:00:00+00:00,6528,1325.881641672268,141.86823869966244,1.5,2,-5,LEVEL6,bear,29.0,2025-11-12T12:00:00+00:00,102158.96,283.62,7377.03,TP,12
SHORT,104979.9,104313.3475936221,100980.58556173256,106979.55721913371,2025-11-12T08:00:00+00:00,6540,1333.1048127558124,147.54069835582976,1.5,1,-5,LEVEL6,bear,24.0,2025-11-12T16:00:00+00:00,100980.59,294.96,7672.0,TP,1
SHORT,102124.9,101384.6370512205,97683.32230732309,104345.68884633845,2025-11-12T12:00:00+00:00,6541,1480.5258975589686,153.43996563888925,1.5,1,-5,LEVEL6,bear,24.0,2025-11-14T04:00:00+00:00,97683.32,306.76,7978.76,TP,9
SHORT,99103.3,98243.81978199289,93946.41869195735,101681.74065402133,2025-11-14T00:00:00+00:00,6550,1718.9604360142155,159.57510922499458,1.5,2,-5,LEVEL6,bear,16.0,2025-11-16T16:00:00+00:00,93946.42,319.02,8297.78,TP,15
SHORT,94531.3,94531.3,90075.23324872986,96759.33337563508,2025-11-16T12:00:00+00:00,6565,1485.3555837567137,165.95556039224678,1.5,1,-5,LEVEL6,bear,10.0,2025-11-18T00:00:00+00:00,90075.23,331.78,8629.56,TP,8
SHORT,93143.1,92323.14834541368,88223.390072482,95602.95496375901,2025-11-18T16:00:00+00:00,6578,1639.9033091726674,172.59112751897035,1.5,2,-5,LEVEL6,bear,11.0,2025-11-20T00:00:00+00:00,92323.15,57.39,8686.95,TRAIL_SL,7
SHORT,92404.6,92404.6,87264.53815205592,94974.63092397204,2025-11-20T00:00:00+00:00,6586,1713.3539493146961,173.7389735777232,1.5,1,-6,LEVEL6,bear,11.0,2025-11-20T16:00:00+00:00,87264.54,347.34,9034.29,TP,3
SHORT,84414.1,87929.91268495312,77382.4746300938,87929.91268495312,2025-11-22T00:00:00+00:00,6598,2343.8751233020707,180.6857526972549,1.5,0,-5,LEVEL6,bear,11.0,2025-11-23T20:00:00+00:00,87929.91,-180.83,8853.46,SL,10
SHORT,87276.7,89822.97334959335,82184.15330081331,89822.97334959335,2025-11-23T16:00:00+00:00,6608,1697.5155663955634,177.06914667126665,1.5,0,-5,LEVEL6,bear,13.0,2025-11-26T16:00:00+00:00,89822.97,-177.21,8676.25,SL,17
SHORT,86926.2,89124.81320483054,82528.97359033891,89124.81320483054,2025-11-26T12:00:00+00:00,6625,1465.7421365536982,173.52493063149458,1.5,0,-5,LEVEL6,bear,15.0,2025-11-26T20:00:00+00:00,89124.81,-173.66,8502.58,SL,1
SHORT,91334.9,93546.87673060545,86910.94653878908,93546.87673060545,2025-11-27T08:00:00+00:00,6630,1474.6511537369697,170.05165561997458,1.5,0,-6,LEVEL6,bear,22.0,2025-12-01T00:00:00+00:00,86910.95,339.97,8842.55,TP,21
SHORT,90809.2,93036.26356585865,87839.78191218847,93036.26356585865,2025-12-02T12:00:00+00:00,6661,1484.709043905766,176.85100101828365,1.0,0,-6,LEVEL6,neutral,23.0,2025-12-03T00:00:00+00:00,93036.26,-176.99,8665.56,SL,2
SHORT,91249.1,93522.14205423527,88218.37726101966,93522.14205423527,2025-12-02T20:00:00+00:00,6663,1515.3613694901758,173.31115138190168,1.0,0,-6,LEVEL6,neutral,23.0,2025-12-03T04:00:00+00:00,93522.14,-173.45,8492.11,SL,1
SHORT,92589.2,92589.2,89472.94317094682,94926.39262178988,2025-12-03T00:00:00+00:00,6664,1558.1284145265913,169.84215537584154,1.0,1,-5,LEVEL6,neutral,28.0,2025-12-05T16:00:00+00:00,89472.94,226.32,8718.43,TP,15
SHORT,89636.5,91683.68639598717,86906.91813868377,91683.68639598717,2025-12-06T00:00:00+00:00,6682,1364.7909306581096,174.3685620447113,1.0,0,-5,LEVEL6,neutral,23.0,2025-12-07T16:00:00+00:00,91683.69,-174.51,8543.92,SL,9
SHORT,91379.7,91379.7,88971.81224706466,93185.6158147015,2025-12-07T16:00:00+00:00,6692,1203.943876467668,170.87840090682437,1.0,1,-6,LEVEL6,neutral,20.0,2025-12-09T12:00:00+00:00,91379.7,-0.14,8543.78,TRAIL_SL,10
SHORT,92366.0,94436.42957005158,89605.42723993123,94436.42957005158,2025-12-10T00:00:00+00:00,6706,1380.2863800343844,170.87566685240986,1.0,0,-5,LEVEL6,neutral,26.0,2025-12-10T20:00:00+00:00,94436.43,-171.01,8372.77,SL,4
SHORT,92477.5,92477.5,89396.3000088325,94788.39999337561,2025-12-11T20:00:00+00:00,6717,1540.5999955837433,167.455419504692,1.0,1,-6,LEVEL6,neutral,29.0,2025-12-14T08:00:00+00:00,89396.3,223.14,8595.91,TP,14
